name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Kurt Abbott,abbok002,0,1.000000000,0.383333333,0.616666666,0.869565217,0.130434782,0.459459459,0.540540540,0.100000000,0.900000000,0.166666666,0.833333333,0.466666666,0.533333333,0.142857142,0.857142857,1.000000000,0,0.875000000,0.125000000,1.000000000,0,0.823529411,0.176470588,0.666666666,0.333333333
Mike Aldrete,aldrm001,0,1.000000000,0.272084805,0.727915194,0.584415584,0.415584415,0.509708737,0.490291262,0.049504950,0.950495049,0.104166666,0.895833333,0.500000000,0.500000000,0.395348837,0.604651162,0.653846153,0.346153846,0.906976744,0.093023255,0.250000000,0.750000000,0.733333333,0.266666666,0.928571428,0.071428571
Luis Alicea,alicl001,0.009828009,0.990171990,0.245657568,0.764267990,0.545454545,0.454545454,0.421404682,0.578595317,0.069364161,0.930635838,0.018633540,0.981366459,0.487341772,0.512658227,0.389610389,0.610389610,0.702127659,0.297872340,0.938271604,0.061728395,0.200000000,0.800000000,0.690476190,0.309523809,0.974358974,0.025641025
Andy Allanson,allaa001,0,1.000000000,0.120000000,0.880000000,0.666666666,0.333333333,0.545454545,0.454545454,0.200000000,0.800000000,0,1.000000000,0.625000000,0.375000000,0.600000000,0.400000000,0.500000000,0.500000000,0.666666666,0.333333333,1.000000000,0,0.916666666,0.083333333,1.000000000,0
Roberto Alomar,alomr001,0.007633587,0.992366412,0.218461538,0.789230769,0.471830985,0.528169014,0.459839357,0.540160642,0.052044609,0.947955390,0.058823529,0.941176470,0.475000000,0.525000000,0.280701754,0.719298245,0.621951219,0.378048780,0.952380952,0.047619047,0.333333333,0.666666666,0.681222707,0.318777292,0.931506849,0.068493150
Sandy Alomar,aloms001,0.026315789,0.973684210,0.175675675,0.851351351,0.717948717,0.282051282,0.407821229,0.592178770,0.141509433,0.858490566,0.065934065,0.934065934,0.470588235,0.529411764,0.300000000,0.700000000,0.857142857,0.142857142,0.955555555,0.044444444,1.000000000,0,0.780821917,0.219178082,0.875000000,0.125000000
Moises Alou,aloum001,0.009861932,0.990138067,0.163346613,0.846613545,0.646341463,0.353658536,0.451690821,0.548309178,0.123348017,0.876651982,0.085427135,0.914572864,0.417582417,0.582417582,0.315789473,0.684210526,0.615384615,0.384615384,0.915094339,0.084905660,0.333333333,0.666666666,0.737967914,0.262032085,0.836734693,0.163265306
Rich Amaral,amarr001,0.007594936,0.992405063,0.221938775,0.785714285,0.620689655,0.379310344,0.462295081,0.537704918,0.103658536,0.896341463,0.006802721,0.993197278,0.506849315,0.493150684,0.324324324,0.675675675,0.700000000,0.300000000,0.833333333,0.166666666,0.500000000,0.500000000,0.716312056,0.283687943,0.900000000,0.100000000
Ruben Amaro,amarr002,0,1.000000000,0.220000000,0.780000000,0.454545454,0.545454545,0.538461538,0.461538461,0.222222222,0.777777777,0.071428571,0.928571428,0.692307692,0.307692307,0.555555555,0.444444444,0.250000000,0.750000000,0.750000000,0.250000000,1.000000000,0,0.523809523,0.476190476,0.900000000,0.100000000
Brady Anderson,andeb001,0.015797788,0.984202211,0.284109149,0.731942215,0.559322033,0.440677966,0.394144144,0.605855855,0.156133828,0.843866171,0.057268722,0.942731277,0.467289719,0.532710280,0.260000000,0.740000000,0.621621621,0.378378378,0.885964912,0.114035087,0.230769230,0.769230769,0.771428571,0.228571428,0.925000000,0.075000000
