name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
paul abbott,abbop001,0.007849293,0.992150706,0.246835443,0.761075949,0.570512820,0.429487179,0.438596491,0.561403508,0.187500000,0.812500000,0,1.000000000,0.134615384,0.865384615,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.986666666,0.013333333,1.000000000,0
juan acevedo,acevj001,0.003448275,0.996551724,0.235294117,0.768166089,0.705882352,0.294117647,0.483660130,0.516339869,0.227848101,0.772151898,0,1.000000000,0.163934426,0.836065573,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
terry adams,adamt001,0,1.000000000,0.263322884,0.736677115,0.583333333,0.416666666,0.710843373,0.289156626,0.125000000,0.875000000,0,1.000000000,0.285714285,0.714285714,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
rick aguilera,aguir001,0.016759776,0.983240223,0.244318181,0.772727272,0.651162790,0.348837209,0.545454545,0.454545454,0.250000000,0.750000000,0,1.000000000,0.100000000,0.900000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
scott aldred,aldrs001,0,1.000000000,0.337662337,0.662337662,0.730769230,0.269230769,0.437500000,0.562500000,0,1.000000000,0,1.000000000,0.222222222,0.777777777,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
antonio alfonseca,alfoa001,0.003690036,0.996309963,0.229629629,0.774074074,0.725806451,0.274193548,0.654411764,0.345588235,0.276595744,0.723404255,0,1.000000000,0.117647058,0.882352941,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
armando almanza,almaa001,0.010869565,0.989130434,0.417582417,0.593406593,0.526315789,0.473684210,0.324324324,0.675675675,0.140000000,0.860000000,0,1.000000000,0.093023255,0.906976744,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
carlos almanzar,almac001,0.015209125,0.984790874,0.262548262,0.752895752,0.691176470,0.308823529,0.507936507,0.492063492,0.145161290,0.854838709,0,1.000000000,0.226415094,0.773584905,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.984375000,0.015625000,1.000000000,0
juan alvarez,alvaj002,0,1.000000000,0.242424242,0.757575757,0.250000000,0.750000000,0.461538461,0.538461538,0.142857142,0.857142857,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
brian anderson,andeb002,0.002781641,0.997218358,0.161785216,0.841004184,0.741379310,0.258620689,0.482587064,0.517412935,0.144230769,0.855769230,0,1.000000000,0.151685393,0.848314606,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
